"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2012",16475.7,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2013",16853,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2014",16867.62,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2015",17560.62,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2016",18625,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2017",18974.75,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2018",20452.26,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2012",9772.282,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2013",10025.88,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2014",10090.85,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2015",10182.6,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2016",10764.22,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2017",10993.64,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2018",11481.81,
"CZE","EDUEXP","TRY","USD_STUDENT","A","1995",7826.766,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2000",5322.223,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2005",6572.162,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2008",8179.323,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2009",8409.561,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2010",7960.391,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2011",9478.243,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2012",10421.61,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2013",10307.67,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2014",10490.26,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2015",10960.24,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2016",10193.64,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2017",11440.47,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2018",16147.57,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2005",11188.65,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2008",14324.25,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2009",14941.97,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2010",15156.52,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2011",15585.49,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2012",15392.09,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2013",16233.88,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2014",16353.8,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2015",16247.39,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2016",16477.16,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2017",16870.73,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2018",17420.21,
"HUN","EDUEXP","TRY","USD_STUDENT","A","1995",6354.23,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2000",6198.934,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2012",9039.39,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2013",10373.97,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2014",8647.33,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2015",8815.057,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2016",11508.37,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2017",12719.93,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2018",13737.58,
"SWE","EDUEXP","PRY","USD_STUDENT","A","1995",5795.09,
"SWE","EDUEXP","PRY","USD_STUDENT","A","2000",6638.423,
"SWE","EDUEXP","PRY","USD_STUDENT","A","2005",7672.226,
