LOCATION,TIME,pbl_cost
AUS,2017,3.222907
AUS,2018,3.2969
AUT,2017,2.94125
AUT,2018,2.826723
BEL,2017,4.010981
BEL,2018,3.972353
CAN,2017,3.259545
CAN,2018,3.223512
CZE,2017,2.436761
CZE,2018,2.685061
DNK,2017,3.367598
DNK,2018,3.318589
FIN,2017,3.587321
FIN,2018,3.580011
FRA,2017,3.393905
FRA,2018,3.3663
DEU,2017,2.601319
DEU,2018,2.636021
HUN,2017,2.609816
HUN,2018,2.542985
ISL,2017,4.316768
ISL,2018,4.425462
IRL,2017,2.209005
IRL,2018,2.162463
ITA,2017,2.769357
ITA,2018,2.92714
JPN,2017,2.43134
JPN,2018,2.381728
KOR,2017,3.031041
KOR,2018,3.128792
LUX,2017,2.597338
LUX,2018,2.736333
MEX,2017,2.834662
MEX,2018,2.622308
NLD,2017,3.030706
NLD,2018,3.015791
NZL,2017,3.791977
NZL,2018,3.732329
NOR,2017,4.654998
NOR,2018,4.634335
POL,2017,2.762001
POL,2018,2.796166
PRT,2017,3.548018
PRT,2018,3.314437
SVK,2017,2.46817
SVK,2018,2.502799
ESP,2017,2.630945
ESP,2018,2.610502
SWE,2017,3.864597
SWE,2018,3.971727
CHE,2017,3.121647
GBR,2017,3.638306
GBR,2018,3.420327
USA,2017,3.239663
USA,2018,3.209809
BRA,2017,3.975799
BRA,2018,3.90078
CHL,2017,2.99328
CHL,2018,2.994505
EST,2017,2.756823
EST,2018,2.968454
ISR,2017,4.220969
ISR,2018,4.323145
RUS,2017,2.302651
RUS,2018,2.276071
SVN,2017,2.89693
SVN,2018,2.857051
ZAF,2017,4.061841
ZAF,2018,4.148211
GRC,2017,2.557947
GRC,2018,2.631294
TUR,2017,2.412841
TUR,2018,2.45236
ARG,2017,3.72618
COL,2017,3.152782
COL,2018,3.048998
LVA,2017,2.771457
LVA,2018,2.674351
CRI,2018,3.888097
CRI,2019,4.748634
LTU,2017,2.256156
LTU,2018,2.207049
OAVG,2017,3.091652
OAVG,2018,3.1337
