"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2000",0.1908178,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2005",0.1835104,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2008",0.1930905,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2009",0.1958869,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2010",0.200417,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2011",0.2031681,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.2140845,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.2203518,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.22447,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.2249585,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2016",0.2261499,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2017",0.2280611,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2018",0.2211285,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.749979,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.8308835,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.8455202,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.8842098,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.8982216,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.8866872,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.8814196,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.9729807,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2014",1.132889,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2015",1.263057,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2016",1.15544,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2017",1.283928,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2018",1.226749,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.0286256,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.0311486,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.036178,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.0392007,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2016",0.0395232,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2017",0.0361051,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2018",0.0392003,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.0848139,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.0941667,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.0952197,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.1085892,
