LOCATION,TIME,prv_cost
AUS,2017,0.7458182
AUS,2018,0.7255283
AUT,2017,0.1302067
AUT,2018,0.1291991
BEL,2017,0.132671
BEL,2018,0.1291011
CAN,2017,0.3278185
CAN,2018,0.3156824
CZE,2017,0.2144134
CZE,2018,0.2208077
DNK,2017,0.0952655
DNK,2018,0.1147102
FRA,2017,0.3468333
FRA,2018,0.3424935
DEU,2017,0.3832096
DEU,2018,0.3723601
ISL,2017,0.1577128
ISL,2018,0.1497604
IRL,2017,0.2651069
IRL,2018,0.2476599
ITA,2017,0.1605346
ITA,2018,0.2461544
JPN,2017,0.198067
JPN,2018,0.1993348
KOR,2017,0.4400913
KOR,2018,0.4027252
LUX,2017,0.0708509
LUX,2018,0.0837193
MEX,2017,0.3637802
MEX,2018,0.5946929
NLD,2017,0.4454928
NLD,2018,0.4626347
NZL,2017,0.7811882
NZL,2018,0.7230211
POL,2017,0.2802634
POL,2018,0.314633
SVK,2017,0.2171263
SVK,2018,0.2581118
ESP,2017,0.4036741
ESP,2018,0.4096684
CHE,2017,0.3779662
USA,2017,0.305671
USA,2018,0.2888291
CHL,2017,0.9563275
CHL,2018,1.196545
EST,2017,0.1266255
EST,2018,0.1286125
ISR,2017,0.5110096
ISR,2018,0.5108475
RUS,2017,0.0858136
RUS,2018,0.0888465
SVN,2017,0.2936497
SVN,2018,0.2979015
FIN,2017,0.0301443
FIN,2018,0.0272391
GRC,2017,0.164052
GRC,2018,0.2237598
HUN,2017,0.2193727
HUN,2018,0.2265332
NOR,2017,0.0252998
NOR,2018,0.0240771
PRT,2017,0.4449379
PRT,2018,0.4084067
TUR,2017,0.8809347
TUR,2018,0.9135714
GBR,2017,0.6661989
GBR,2018,0.6917082
COL,2017,0.8801699
COL,2018,0.9361756
LVA,2017,0.1482375
LVA,2018,0.1582192
LTU,2017,0.113281
LTU,2018,0.1129474
OAVG,2017,0.3417779
OAVG,2018,0.3026983
