"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2000",882.35232,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2005",888.3,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2006",884.33204,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2007",876.93202,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2008",872.55573,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2009",874.37937,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2010",868.15076,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2011",872.54543,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2012",871.28204,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2013",879.2071,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2014",871.9632,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2015",865.76544,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2016",862.45697,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2017",865.2686,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2018",869.57456,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2019",879.70789,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2020",878.40834,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2000",803.42575,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2005",810.16,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2006",817.04836,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2007",813.15905,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2008",810.4379,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2009",797.05472,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2010",803.25933,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2011",802.16714,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2012",801.32556,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2013",812.3237,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2014",804.01312,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2015",804.48307,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2016",795.84434,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2017",797.28162,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2018",810.7932,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2019",819.74742,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2020",821.20197,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2000",810.54626,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2005",810.16,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2006",818.47444,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2007",814.54896,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2008",811.81839,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2009",812.29372,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2010",819.16515,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2011",810.80546,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2012",808.58901,
