"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2013",42.23634,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2014",47.64721,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2015",49.86091,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2016",47.43574,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2017",48.65071,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2018",52.3847,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",15.27347,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",13.59284,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",12.31883,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",13.04121,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",15.18507,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",12.82241,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2012",2.075188,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2013",2.597502,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2014",2.925185,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2015",3.085624,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2016",3.076765,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2017",2.957081,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2018",3.194471,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",2.781363,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",2.818475,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",2.643998,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",3.145569,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",3.348473,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",5.944208,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",7.346432,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2012",7.998446,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2013",7.943081,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2014",7.939892,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2015",8.068292,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2016",7.940902,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2017",7.715065,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2018",7.515335,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",4.801591,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",5.133787,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",5.424984,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",5.592228,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",6.487826,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",6.262579,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",5.719663,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2011",23.35465,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2012",17.50859,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2013",18.31047,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2014",19.25186,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2015",21.11193,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2016",20.81645,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2017",22.38809,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2018",24.06111,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2011",21.59151,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",23.52971,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",25.26409,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",25.58989,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",22.31277,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",25.92064,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",23.66376,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",23.60117,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2012",7.275652,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2013",7.892095,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2014",8.151575,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2015",8.14693,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2016",9.621507,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2017",9.378695,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2018",7.087445,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",10.52288,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",11.4206,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",11.79076,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",11.76253,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",13.98874,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",13.68123,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",10.36652,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2012",10.42615,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2013",10.64482,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2014",11.54018,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2015",10.70595,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2016",11.19718,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2017",11.42078,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2018",11.61221,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",9.40469,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",10.13218,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",9.442914,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",9.59411,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",10.06854,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",9.725367,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",10.08005,
"ISL","EDUEXPTRY","HH","PC_EDUEXP","A","2012",7.10122,
"ISL","EDUEXPTRY","HH","PC_EDUEXP","A","2013",7.769048,
"ISL","EDUEXPTRY","HH","PC_EDUEXP","A","2014",7.890297,
"ISL","EDUEXPTRY","HH","PC_EDUEXP","A","2015",7.650756,
"ISL","EDUEXPTRY","HH","PC_EDUEXP","A","2016",7.401554,
"ISL","EDUEXPTRY","HH","PC_EDUEXP","A","2017",7.329608,
"ISL","EDUEXPTRY","HH","PC_EDUEXP","A","2018",7.687223,
"ISL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",0.5742739,
"ISL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",0.600233,
"ISL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",0.6168987,
"ISL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",0.6131782,
"ISL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",0.6362411,
"ISL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",0.6717747,
"ISL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",0.7267935,
"IRL","EDUEXPTRY","HH","PC_EDUEXP","A","2015",27.02678,
"IRL","EDUEXPTRY","HH","PC_EDUEXP","A","2016",26.55865,
"IRL","EDUEXPTRY","HH","PC_EDUEXP","A","2017",26.49832,
"IRL","EDUEXPTRY","HH","PC_EDUEXP","A","2018",24.9219,
"IRL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",2.209792,
"IRL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",2.156615,
"IRL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",2.350179,
"IRL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",2.589493,
"ITA","EDUEXPTRY","HH","PC_EDUEXP","A","2012",25.78331,
"ITA","EDUEXPTRY","HH","PC_EDUEXP","A","2013",25.42188,
"ITA","EDUEXPTRY","HH","PC_EDUEXP","A","2014",26.50286,
"ITA","EDUEXPTRY","HH","PC_EDUEXP","A","2015",28.2425,
"ITA","EDUEXPTRY","HH","PC_EDUEXP","A","2016",29.8572,
"ITA","EDUEXPTRY","HH","PC_EDUEXP","A","2017",29.2613,
"ITA","EDUEXPTRY","HH","PC_EDUEXP","A","2018",31.85868,
"ITA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",7.344019,
"ITA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",6.300539,
"ITA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",7.630894,
"ITA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",7.115799,
"ITA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",6.092502,
"ITA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2017",5.878919,
"ITA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2018",4.007207,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2005",51.39446,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2011",52.32327,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2012",52.15364,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2013",50.61538,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2014",51.03793,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2015",51.99517,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2016",52.68304,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2017",52.56713,
"JPN","EDUEXPTRY","HH","PC_EDUEXP","A","2018",52.67033,
