COUNTRY,tea_salary
AUS,45680.96698
AUT,45665.29929
BFL,39035.67554
BFR,37794.84031
CAN,37759.66161
CHL,25147.39262
COL,21911.87557
CRI,15349.59073
CZE,25388.86932
DNK,52557.89609
EST,24983.19832
FIN,38734.45767
FRA,34832.96777
DEU,72588.38747
GRC,20643.40503
HUN,15812.86923
ISL,38261.49207
IRL,37096.34026
ISR,22947.64852
ITA,34909.58053
JPN,29897.5728
KOR,32846.62176
LVA,15932.95413
LTU,27290.86031
LUX,78680.79657
MEX,27257.67141
NLD,46393.64694
NZL,33417.20245
NOR,43048.27309
POL,17364.97564
PRT,34700.86399
SVK,16757.3583
SVN,30530.23398
ESP,48177.52984
SWE,42304.9849
CHE,66475.53403
TUR,30051.99664
ENG,32492.92167
SCO,41133.3038
USA,42487.74542
OAVG,35608.63656
E22,36442.52137
BRA,13983.05999
